id,app_name,package_name,date_of_analysis,developer,category,number_of_downloads,data_safety_link,privacy_policy_link
67,Baby Face Funny Age Changer,com.BabyFaceFunnyAgeChangerNisappsNiski,15-09-2023,nss nis,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.BabyFaceFunnyAgeChangerNisappsNiski,https://katarinakrstic018.wixsite.com/nssnis
68,Smarty Suit Photo Editor,weddingtraditional.couple.suit,15-09-2023,Tap Tap Studios,Photography,1M+,https://play.google.com/store/apps/datasafety?id=weddingtraditional.couple.suit,https://www.sotec.es/Mobile_Apps.html
69,Guess Your Future Baby's Face!,babypredictor.babygenerator.futurebabyface.app,15-09-2023,Photo Lab Studio,Photography,50K+,https://play.google.com/store/apps/datasafety?id=babypredictor.babygenerator.futurebabyface.app,https://sites.google.com/view/photolabpolicy/home
70,Stylish Dress Fashion Girls,com.kingsstore.StylishDressFashionGirlsNew,15-09-2023,kings store,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.kingsstore.StylishDressFashionGirlsNew,https://kingsstore14.blogspot.com/p/privacy-policy.html
72,TrulyFilipino - Dating App,com.rometic.trulyfilipino,15-09-2023,ROMETIC,Dating,100K+,https://play.google.com/store/apps/datasafety?id=com.rometic.trulyfilipino,https://www.trulyfilipino.com/privacy-policy
73,Binoculars X-C15 Photo & Video,com.bzezz.starlocator,15-09-2023,Bzezz,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.bzezz.starlocator,https://sites.google.com/view/bzezz-privacy-policy/home
74,FitPix - Photo & Video Vault,com.etoolkit.fitpix.mediavault,15-09-2023,eToolkit Inc,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.etoolkit.fitpix.mediavault,https://fitpix.app/privacy-policy
75,Vishnu Bhagwan Photo Frames HD,com.vishnu.vishnubhagwanphotoframes,15-09-2023,Andro home,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.vishnu.vishnubhagwanphotoframes,http://androhomeprivacypolicy.blogspot.com/
76,Grid Pic - Art Collage,com.atsdev.photogridart,15-09-2023,AT Software Developers,Photography,500K+,https://play.google.com/store/apps/datasafety?id=com.atsdev.photogridart,https://atsoftdeveloper.wordpress.com/
77,Water Fountain Photo Frames,com.appbites.waterfountainphotoframes,15-09-2023,App Bites,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.appbites.waterfountainphotoframes,https://kirakapps.com/privacy_policy.html
78,EuroDate - Dating: Meet People,com.eurodate,15-09-2023,Asteri Solutions Limited,Dating,100K+,https://play.google.com/store/apps/datasafety?id=com.eurodate,https://www.eurodate.com/privacy-policy/
79,Hookups - Hook up dating app,com.socialnetwork.hookupsapp,15-09-2023,HookupsApp,Dating,500K+,https://play.google.com/store/apps/datasafety?id=com.socialnetwork.hookupsapp,https://www.hookups.dating/hookups/privacy_policy.html
80,Dating and chat - Maybe You,com.maybeyou,15-09-2023,Evermatch,Dating,10M+,https://play.google.com/store/apps/datasafety?id=com.maybeyou,https://sites.google.com/view/maybe-you/privacy-policy
81,PicMix - Photo Collage Maker,jsnew.photomixer,15-09-2023,Destiny Tool,Photography,500K+,https://play.google.com/store/apps/datasafety?id=jsnew.photomixer,https://sites.google.com/view/destinytool
82,Lehanga Choli Photo Maker,com.kingsstore.LehangaCholiPhotoMaker,15-09-2023,kings store,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.kingsstore.LehangaCholiPhotoMaker,https://kingsstore14.blogspot.com/p/privacy-policy.html
83,"Hotti Dating: Chat, Meet, Date",com.hotti.android,15-09-2023,Venta Solutions PTE. Ltd,Dating,10K+,https://play.google.com/store/apps/datasafety?id=com.hotti.android,https://www.hotti.com/privacy-policy/
84,Rama Navami Photo Frames,com.ramnavami.ramanavamiphotoframes,15-09-2023,Andro home,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.ramnavami.ramanavamiphotoframes,http://androhomeprivacypolicy.blogspot.com/
85,"Video Dating, Chat, Meet",com.meetoutside.meetoutsideapp,15-09-2023,MeetOutside.com,Dating,10K+,https://play.google.com/store/apps/datasafety?id=com.meetoutside.meetoutsideapp,http://www.meetoutside.com/WebPages/MO_PrivacyPolicy.aspx
86,Veggly – Vegan Dating App,com.veggly,15-09-2023,Similar Souls do Brasil,Dating,500K+,https://play.google.com/store/apps/datasafety?id=com.veggly,http://www.veggly.net/privacy-policy/
87,Shivaji Jayanti PhotoFrames HD,com.shivajijayantiphotoframes,15-09-2023,Andro home,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.shivajijayantiphotoframes,http://androhomeprivacypolicy.blogspot.com/
88,Girls Photo Suits Editor,com.kingsstore.GirlsPhotoSuitsEditor,15-09-2023,kings store,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.kingsstore.GirlsPhotoSuitsEditor,https://kingsstore14.blogspot.com/p/privacy-policy.html
89,YoCutie - Dating. Flirt. Chat.,de.appfiction.yocutiegoogle,15-09-2023,App Fiction GmbH,Dating,5M+,https://play.google.com/store/apps/datasafety?id=de.appfiction.yocutiegoogle,https://www.yocutie.com/privacy
90,420 Singles,singles420.entrision.com.singles420,15-09-2023,420 Singles,Dating,100K+,https://play.google.com/store/apps/datasafety?id=singles420.entrision.com.singles420,http://420singles.com/privacy_policy.html
91,ZenDate - Meet Asian Singles,com.chinalove,15-09-2023,Asteri Solutions Limited,Dating,500K+,https://play.google.com/store/apps/datasafety?id=com.chinalove,https://www.zendate.com/privacy-policy/
92,Sri Rama Navami photo frames,com.mvltrapps.srirama.navami.photo.frame.effect,15-09-2023,MVLTR Apps,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.mvltrapps.srirama.navami.photo.frame.effect,https://mvltrapps.com/privacy-policy.php
93,Artistic Photo Style Transfer,com.telestra.art.painting.artistic.photography,15-09-2023,Telestra Infratech Pvt Ltd.,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.telestra.art.painting.artistic.photography,https://www.app-privacy-policy.com/live.php?token=gwxDvvNsOdnsgEpjMF3pV3psWPHTEXoq
94,Indian Bride Wedding Suit,com.kingsstore.IndianBrideWeddingPhotoMontage,15-09-2023,kings store,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.kingsstore.IndianBrideWeddingPhotoMontage,https://kingsstore14.blogspot.com/p/privacy-policy.html
95,Music Show - Video Slideshow,com.km.musicslideshow,15-09-2023,Dexati,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.km.musicslideshow,https://www.dexati.com/privacy1android.html
96,Selfie photo frames,com.mvltrapps.selfiephotoframemaker,15-09-2023,MVLTR Apps,Photography,500K+,https://play.google.com/store/apps/datasafety?id=com.mvltrapps.selfiephotoframemaker,https://mvltrapps.com/privacy-policy.php
97,Girls Designer Frock Suits,com.kingsstore.GirlsDesignerFrockPhotoEditor,15-09-2023,kings store,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.kingsstore.GirlsDesignerFrockPhotoEditor,https://kingsstore14.blogspot.com/p/privacy-policy.html
98,Photo Lite - Photo Editor,com.photo.editor.makeup.face,15-09-2023,Family Photo Frame,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.photo.editor.makeup.face,http://www.privacypolicycenter.com/view.php?v=cExXNXhtdjZzVC95QWZ6aEFjeUZQQT09&n=Anylight---Photo-Editor
99,Valentine's Day Photo Frame,com.appwallet.ValentinesDayFrames,15-09-2023,Appwallet Technologies,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.appwallet.ValentinesDayFrames,http://www.appwallettech.com/privacy-policy-appwallet/
100,The Bro App (BRO),com.brotechllc.thebroapp,15-09-2023,BroTech LLC,Dating,100K+,https://play.google.com/store/apps/datasafety?id=com.brotechllc.thebroapp,http://www.broapp.com/privacy
101,Baby Girl Photo Suits,com.kingsstore.BabyGirlPhotoSuits,15-09-2023,kings store,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.kingsstore.BabyGirlPhotoSuits,https://kingsstore14.blogspot.com/p/privacy-policy.html
102,"Cal Cam, Daily Photo Editor",com.calcam.oldfilter,15-09-2023,Cal Cam Team,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.calcam.oldfilter,http://www.calcamteam.com/html/CalCamPrivacyPolicy.html
103,Loveawake Dating & Chat App,com.loveawake.chat,15-09-2023,Loveawake,Dating,10K+,https://play.google.com/store/apps/datasafety?id=com.loveawake.chat,https://www.loveawake.com/special/policy/
104,Valentine's Day Photo Frame,valentine.photo.frame.editor,15-09-2023,MexPro Inc.,Photography,500K+,https://play.google.com/store/apps/datasafety?id=valentine.photo.frame.editor,http://maxproapp.us/maxpro/policy.html
105,Pics Blend - Background Eraser,com.photoeditor.blender.picsblend,15-09-2023,"Blur Photo Editor, Background Changer of Photo Lab",Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.photoeditor.blender.picsblend,http://picsblend.picseditor.top/PrivacyPolicy
106,LoveInAsia - Asian Dating,com.aimdate.loveinasia,15-09-2023,AimDate LLC,Dating,50K+,https://play.google.com/store/apps/datasafety?id=com.aimdate.loveinasia,https://lovein.asia/page/privacy-policy
107,Passport Size Photo Maker,com.passportsizephoto.passportphotomaker,15-09-2023,Pixels Dev Studio,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.passportsizephoto.passportphotomaker,https://pixelsdevphotoapps.blogspot.com/p/privacy-policy.html
108,Wedding Invitation Card Maker,com.wedding.weddinginvitation,15-09-2023,Nilesh Jain,Photography,1M+,https://play.google.com/store/apps/datasafety?id=com.wedding.weddinginvitation,https://sites.google.com/view/nilesh-privacy/privacy-policy
109,"Latin Dating - Flirt, Meeting,",com.weloveapps.latindating,15-09-2023,WeLoveApps,Dating,100K+,https://play.google.com/store/apps/datasafety?id=com.weloveapps.latindating,https://dating-app.weloveapps.org/web/rules/policies
110,Splento: Food Photography,com.splento.food,15-09-2023,Splento,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.splento.food,https://www.splento.com/terms/privacy
111,Fiorry: Transgender Dating,fiori.transgender,15-09-2023,Fiorry Social Ltd,Dating,100K+,https://play.google.com/store/apps/datasafety?id=fiori.transgender,https://fiorry.co/privacy-policy
112,Good Morning My Love Gif,com.devlobis.goodmorninglove,15-09-2023,Devlobis,Dating,10K+,https://play.google.com/store/apps/datasafety?id=com.devlobis.goodmorninglove,https://sites.google.com/view/devlobisapps/privacy-policy
113,"SweetRing - Meet, Match, Date",com.sweetringplus.android,15-09-2023,SweetRing,Dating,5M+,https://play.google.com/store/apps/datasafety?id=com.sweetringplus.android,https://www.sweetring.com/rules/app/rules_privacy_policy_m.php?locale=en_US
114,Birthday Photo Frames,com.ram.birthdayphotoframes,15-09-2023,RamkumarApps,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.ram.birthdayphotoframes,https://ramkumarapps.blogspot.com/2022/07/ramkumar-apps-privacy-policy.html
115,Photo Pixel Shattering Effect,com.jazzyworlds.photopixel,15-09-2023,Jazzy Worlds,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.jazzyworlds.photopixel,https://sites.google.com/view/jazzyworld
116,Love Photo Frames,com.ram.lovephotoframes,15-09-2023,RamkumarApps,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.ram.lovephotoframes,https://ramkumarapps.blogspot.com/2022/07/ramkumar-apps-privacy-policy.html
117,Photo Paint & Sketch Effect,com.jazzyworlds.paintandsketcheffect,15-09-2023,Jazzy Worlds,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.jazzyworlds.paintandsketcheffect,https://sites.google.com/view/jazzyworld
118,Picture Grid Builder,com.km.photogridbuilder,15-09-2023,Dexati,Photography,10M+,https://play.google.com/store/apps/datasafety?id=com.km.photogridbuilder,http://www.dexati.com/privacy2android.html
119,ThaiFlirting - Thai Dating,com.aimdate.thaiflirting,15-09-2023,AimDate LLC,Dating,100K+,https://play.google.com/store/apps/datasafety?id=com.aimdate.thaiflirting,https://thaiflirting.com/page/privacy-policy
120,FitPix - Photo Editor,com.etoolkit.photoeditor,15-09-2023,eToolkit Inc,Photography,1M+,https://play.google.com/store/apps/datasafety?id=com.etoolkit.photoeditor,https://fitpix.app/privacy-policy.html
121,Romantic Love Photo Editor,love.photo.frame.editor,15-09-2023,MexPro Inc.,Photography,1M+,https://play.google.com/store/apps/datasafety?id=love.photo.frame.editor,https://maxproapp.us/Policy/privacy.html
122,Good Morning And Night Images,com.bluestar.good.morning,15-09-2023,blue star,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.bluestar.good.morning,https://sites.google.com/view/bluestare/
123,Casualx Hookup: Hook Up Dating,dating.hookup.apps,15-09-2023,Casualx Personals,Dating,100K+,https://play.google.com/store/apps/datasafety?id=dating.hookup.apps,https://www.casualxmail.com/privacy.html
124,3D Photo Effect,com.jazzyworlds.photoeffect3d,15-09-2023,Jazzy Worlds,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.jazzyworlds.photoeffect3d,https://sites.google.com/view/jazzyworld
125,Stranger with Chat (Random),kr.jungrammer.strangerchat3,15-09-2023,gaga.chat,Dating,100K+,https://play.google.com/store/apps/datasafety?id=kr.jungrammer.strangerchat3,https://strangerchat.io/policy/privacy-en-gaga-chat.html
126,FitPix - Collage Maker,com.etoolkit.fitpix.collage,15-09-2023,eToolkit Inc,Photography,1M+,https://play.google.com/store/apps/datasafety?id=com.etoolkit.fitpix.collage,https://fitpix.app/privacy-policy.html
